EnglishName,NepaliName,District
Mahindra Ray Yadav,महिन्द्र राय यादव,Sarlahi
Mahendra Kumar Ray,महेन्द्र कुमार राय,Mahottari
Mahendra Bahadur Shahi,महेन्द्र बहादुर शाही,Kalikot
Mahesh Kumar Bartaula,महेश कुमार बर्तौला,Makawanpur
Mahesh Basnet,महेश बस्नेत,Ilam
Madhav Kumar Nepal,माधव कुमार नेपाल,Rautahat
Madhav Sapkota,माधव सापकोटा,Sindhupalchowk
Manbir Rai,मानबीर राई,Solukhumbu
Maya Rai,माया राई,Bhojpur
Mina Tamang,मिना तामाङ,Kavrepalanchowk
Mina Yadav,मिना यादव,Sarlahi
Mukta Kumari Yadav,मुक्ता कुमारी यादव,Dhanusa
Metmani Chaudhary,मेटमणी चौधरी,Dang
Menka Kumari Pokhrel,मेनका कुमारी पोख्रेल,Dang
Maina Karki,मैना कार्की,Jajarkot
Mohan Acharya,मोहन आचार्य,Rasuwa
Mohan Bahadur Basnet,मोहन बहादुर बस्नेत ,Sindhupalchowk
Mangal Prasad Gupta,मंगल प्रसाद गुप्ता,Kapilbastu
Yogendra Mandal,योगेन्द्र मण्डल,Morang
Hon Yogesh Kumar Bhattarai,योगेश कुमार भट्टराई,Taplejung
Yogesh Gauchan Thakali,योगेश गौचन थकाली,Mustang
Raghubir Mahaseth,रघुवीर महासेठ,Dhanusa
Raghuji Pant,रघुजी पन्त,Kathmandu
Rana Kumari Balampaki Magar,रण कुमारी बलम्पाकी मगर,Sindhuli
Ranendra Barali,रणेन्द्र बराली,Chitwan
Ranjita Shrestha,रन्जिता श्रेष्ठ,Kailali
Ranju Kumari Jha,रन्जु कुमारी झा,Saptari
Rama Koirala Poudyal,रमा कोईराला पौड्याल,Bhaktapur
Ramesh Rijal,रमेश रिजाल,Parsa
Ramesh Lekhak,रमेश लेखक,Kanchanpur
Ravi Lamichhane,रवि लामिछाने,Chitwan
Raj Kishor Yadav,राज किशोर यादव,Siraha
Raj Kumar Gupta,राज कुमार गुप्ता,Parsa
Raju Thapa,राजु थापा,Syangja
Rajendra Kumar K.C.,राजेन्द्र कुमार के.सी.,Kathmandu
Rajendra Kumar Rai,राजेन्द्र कुमार राई,Dhankuta
Rajendra Prasad Pande,राजेन्द्र प्रसाद पाण्डे,Dhading
Rajendra Prasad Lingdel,राजेन्द्र प्रसाद लिङ्देन,Jhapa
Rajendra Bajgain,राजेन्द्र बजगाई,Gorkha
Ram Kumari Rai,राम कुमार राई,Khotang
Ram Krishna Yadav,राम कृष्ण यादव,Dhanusa
Ramnath Adhikari,राम नाथ अधिकारी,Dhading
Ram Prakash Chaudhary,रामप्रकाश चौधरी,Sarlahi
Ram Shankar Yadav,राम शंकर यादव,Siraha
Ramhari Khatiwada,रामहरि खतिवडा,Okhaldhunga
Rukmani Rana  Baraily,रुक्मणी राना बराइली,Kavrepalanchowk
Rupa B.K.,रुपा वि.क.,Kapilbastu
Rupa Sosi (Chaudhary),रुपा सो.शी. (चौधरी),Kailali
Rekha Yadav,रेखा यादव,Morang
Rekha Sharma,रेखा शर्मा,Dang
Roshan Karki,रोसन कार्की,Lalitpur
Laxmi Tiwari,लक्ष्मी तिवारी,Banke
Laxmi Mahato Koiri,लक्ष्मी महतो कोइरी,Mahottari
Lal Prasad Sanwa Limbu,लाल प्रसाद सावा लिम्बु,Jhapa
Lalbir Chaudhary,लालविर चौधरी,Bardiya
Liladebi Bokhim (Limbu),लिला देवी वोखिम (लिम्बू),Taplejung
Lilanath Shrestha,लिलानाथ श्रेष्ठ,Siraha
Lekhnath Dahal,लेख नाथ दाहाल,Sindhuli
Bikram Pandey,विक्रम पाण्डे,Chitwan
Bijula Rayamajhi,विजुला रायमाझी,Arghakhanchi
Bidhya Bhattarai,विद्या भट्टराई,Kaski
Bina Lama,विना लामा,Dhading
